Group,ID,List,Target,RT,RT_log,Critical_Filler,Word_Nonword,Relation_type,Branching,accuracy
L1,L1_12,F,unskillful,1425,7.2619,Critical,Word,Unrelated,Right,incorrect
L1,L1_12,F,reclosable,845,6.7393,Critical,Word,Constituent,Left,correct
L1,L1_12,F,uneventful,742,6.6093,Critical,Word,Constituent,Right,correct
L1,L1_12,F,unthankful,669,6.5058,Critical,Word,Constituent,Right,correct
L1,L1_12,F,unclearness,1186,7.0783,Critical,Word,Unrelated,Left,correct
L1,L1_12,F,unbreakable,718,6.5765,Critical,Word,Unrelated,Right,correct
L1,L1_12,F,unripeness,1694,7.4348,Critical,Word,NonConstituent,Left,incorrect
L1,L1_12,F,unsharpness,1517,7.3245,Critical,Word,Unrelated,Left,incorrect
L1,L1_12,F,untouchable,669,6.5058,Critical,Word,Unrelated,Right,correct
L1,L1_12,F,reattachable,749,6.6187,Critical,Word,Unrelated,Left,correct
L1,L1_12,F,rehydratable,1088,6.9921,Critical,Word,Unrelated,Left,incorrect
L1,L1_12,F,unreadable,927,6.832,Critical,Word,Constituent,Right,correct
L1,L1_13,A,unresentful,470,6.1527,Critical,Word,Unrelated,Right,correct
